행정동,시설명,X좌표,Y좌표
돈암1동,돈암1동 마을마당,127.021175,37.597746
돈암1동,새소리,127.025559,37.600827
망우3동,달동산,127.0952,37.59217
반포본동,반포주공,126.9835,37.501998
반포본동,푸른공원,126.991238,37.500712
반포본동,초  롱,126.987471,37.499605
부암동,홍제천2체육시설,126.9610904,37.60004295
성내3동,보람공원,127.131302,37.52471702
역촌동,백  련,126.919486,37.60836
역촌동,자투리(녹번)마을마당,126.915551,37.599552
역촌동,대조어린이공원,126.918478,37.601073
오륜동,테스트,127.1161666,37.52103247
일원1동,일원까치공원,127.086504,37.491615
일원1동,대청근린공원,127.0830019,37.49319912
일원1동,대청공원,127.083375,37.492415
잠실7동,아시아,127.0759347,37.51068203
장위2동,장위2동 감나무쉼터,127.051625,37.614919
중곡3동,배나무터공원,127.0802718,37.56833955
홍제3동,홍제교 좌안 상류 간이운동장,126.9463425,37.59298781
홍제3동,홍제근린공원,126.952997,37.594742
홍제3동,주민센터,126.949694,37.593768
